Name,id,preliminary_decision,review
paper,1,accept,[List]
paper,2,accept,[List]
paper,3,accept,[List]
paper,4,accept,[List]
paper,5,accept,[List]
paper,6,probably reject,[List]
paper,7,probably reject,[List]
paper,8,accept,[List]
paper,9,accept,[List]
paper,10,accept,[List]
paper,11,accept,[List]
paper,12,accept,[List]
paper,13,accept,[List]
paper,14,reject,[List]
paper,15,accept,[List]
paper,16,accept,[List]
paper,17,accept,[List]
paper,18,accept,[List]
paper,19,accept,[List]
paper,20,probably reject,[List]
paper,21,accept,[List]
paper,22,probably reject,[List]
paper,23,accept,[List]
paper,24,accept,[List]
paper,25,accept,[List]
paper,26,accept,[List]
paper,27,accept,[List]
paper,28,reject,[List]
paper,29,reject,[List]
paper,30,reject,[List]
paper,31,accept,[List]
paper,32,accept,[List]
paper,33,accept,[List]
paper,34,accept,[List]
paper,35,accept,[List]
paper,36,accept,[List]
paper,37,probably reject,[List]
paper,38,accept,[List]
paper,39,accept,[List]
paper,40,accept,[List]
paper,41,probably reject,[List]
paper,42,probably reject,[List]
paper,43,accept,[List]
paper,44,accept,[List]
paper,45,accept,[List]
paper,46,accept,[List]
paper,47,accept,[List]
paper,48,accept,[List]
paper,49,reject,[List]
paper,50,accept,[List]
paper,51,accept,[List]
paper,52,accept,[List]
paper,53,accept,[List]
paper,54,accept,[List]
paper,55,accept,[List]
paper,56,accept,[List]
paper,57,accept,[List]
paper,58,reject,[List]
paper,59,reject,[List]
paper,60,accept,[List]
paper,61,accept,[List]
paper,62,accept,[List]
paper,63,accept,[List]
paper,64,accept,[List]
paper,65,accept,[List]
paper,66,accept,[List]
paper,67,accept,[List]
paper,68,accept,[List]
paper,69,accept,[List]
paper,70,accept,[List]
paper,71,reject,[List]
paper,72,accept,[List]
paper,73,accept,[List]
paper,74,accept,[List]
paper,75,accept,[List]
paper,76,accept,[List]
paper,77,accept,[List]
paper,78,accept,[List]
paper,79,accept,[List]
paper,80,reject,[List]
paper,81,accept,[List]
paper,82,reject,[List]
paper,83,accept,[List]
paper,84,accept,[List]
paper,85,reject,[List]
paper,86,accept,[List]
paper,87,accept,[List]
paper,88,accept,[List]
paper,89,accept,[List]
paper,90,accept,[List]
paper,91,reject,[List]
paper,92,accept,[List]
paper,93,reject,[List]
paper,94,reject,[List]
paper,95,reject,[List]
paper,96,reject,[List]
paper,97,accept,[List]
paper,98,reject,[List]
paper,99,reject,[List]
paper,100,accept,[List]
paper,101,reject,[List]
paper,102,accept,[List]
paper,103,reject,[List]
paper,104,accept,[List]
paper,105,no decision,[List]
paper,106,accept,[List]
paper,107,reject,[List]
paper,108,reject,[List]
paper,109,accept,[List]
paper,110,accept,[List]
paper,111,reject,[List]
paper,112,reject,[List]
paper,113,accept,[List]
paper,114,accept,[List]
paper,115,reject,[List]
paper,116,reject,[List]
paper,117,reject,[List]
paper,118,accept,[List]
paper,119,accept,[List]
paper,120,reject,[List]
paper,121,accept,[List]
paper,122,accept,[List]
paper,123,reject,[List]
paper,124,reject,[List]
paper,125,reject,[List]
paper,126,accept,[List]
paper,127,accept,[List]
paper,128,accept,[List]
paper,129,accept,[List]
paper,130,accept,[List]
paper,131,reject,[List]
paper,132,accept,[List]
paper,133,reject,[List]
paper,134,reject,[List]
paper,135,reject,[List]
paper,136,reject,[List]
paper,137,accept,[List]
paper,138,reject,[List]
paper,139,accept,[List]
paper,140,reject,[List]
paper,141,reject,[List]
paper,142,reject,[List]
paper,143,reject,[List]
paper,144,reject,[List]
paper,145,reject,[List]
paper,146,reject,[List]
paper,147,accept,[List]
paper,148,accept,[List]
paper,149,accept,[List]
paper,150,accept,[List]
paper,151,reject,[List]
paper,152,reject,[List]
paper,153,accept,[List]
paper,154,accept,[List]
paper,155,accept,[List]
paper,156,accept,[List]
paper,157,accept,[List]
paper,158,accept,[List]
paper,159,accept,[List]
paper,160,accept,[List]
paper,161,accept,[List]
paper,162,accept,[List]
paper,163,accept,[List]
paper,164,accept,[List]
paper,165,accept,[List]
paper,166,accept,[List]
paper,167,reject,[List]
paper,168,accept,[List]
paper,169,accept,[List]
paper,170,reject,[List]
paper,171,accept,[List]
paper,172,no decision,[List]
